== Sampling period: 500 us
== Test mode: periodic user-mode task
== All results in microseconds
warming up...
RTT|  00:00:01  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.770|     18.700|     47.371|       0|     0|      1.711|     64.990
RTD|      1.757|     17.038|     48.380|       0|     0|      1.711|     64.990
RTD|      1.748|     20.463|     52.849|       0|     0|      1.711|     64.990
RTD|      1.772|     15.788|     48.426|       0|     0|      1.711|     64.990
RTD|      1.735|     17.355|     54.623|       0|     0|      1.711|     64.990
RTD|      1.747|     21.287|     53.595|       0|     0|      1.711|     64.990
RTD|      1.755|     18.860|     53.342|       0|     0|      1.711|     64.990
RTD|      1.748|     21.286|     54.089|       0|     0|      1.711|     64.990
RTD|      1.763|     19.291|     51.837|       0|     0|      1.711|     64.990
RTD|      1.760|     19.464|     54.083|       0|     0|      1.711|     64.990
RTD|      1.812|     24.232|     55.506|       0|     0|      1.711|     64.990
RTD|      2.210|     25.113|     51.471|       0|     0|      1.711|     64.990
RTD|      1.772|     19.199|     53.957|       0|     0|      1.711|     64.990
RTD|      1.760|     16.754|     51.349|       0|     0|      1.711|     64.990
RTD|      1.723|     18.644|     52.037|       0|     0|      1.711|     64.990
RTD|      1.750|     19.396|     62.801|       0|     0|      1.711|     64.990
RTD|      1.838|     25.276|     51.680|       0|     0|      1.711|     64.990
RTD|      1.950|     25.517|     58.949|       0|     0|      1.711|     64.990
RTD|      1.736|     14.143|     54.174|       0|     0|      1.711|     64.990
RTT|  00:03:52  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.683|     18.013|     60.153|       0|     0|      1.683|     64.990
RTD|      2.126|      3.963|     41.515|       0|     0|      1.683|     64.990
RTD|      2.276|      3.583|      6.371|       0|     0|      1.683|     64.990
RTD|      1.749|      6.899|     53.349|       0|     0|      1.683|     64.990
RTD|      1.744|     14.419|     51.069|       0|     0|      1.683|     64.990
RTD|      1.775|     18.570|     54.569|       0|     0|      1.683|     64.990
RTD|      1.761|     16.266|     57.057|       0|     0|      1.683|     64.990
RTD|      1.753|     22.923|     53.404|       0|     0|      1.683|     64.990
RTD|      1.754|     22.815|     54.930|       0|     0|      1.683|     64.990
RTD|      1.733|     24.716|     60.433|       0|     0|      1.683|     64.990
RTD|      1.777|     19.789|     53.108|       0|     0|      1.683|     64.990
RTD|      1.761|     21.773|     55.774|       0|     0|      1.683|     64.990
RTD|      1.751|     16.057|     56.581|       0|     0|      1.683|     64.990
RTD|      1.743|     23.585|     59.898|       0|     0|      1.683|     64.990
RTD|      1.762|     20.199|     51.489|       0|     0|      1.683|     64.990
RTD|      1.771|     20.152|     54.871|       0|     0|      1.683|     64.990
RTD|      1.769|     16.205|     49.924|       0|     0|      1.683|     64.990
RTD|      1.751|     18.902|     53.386|       0|     0|      1.683|     64.990
RTD|      1.758|     21.874|     54.224|       0|     0|      1.683|     64.990
RTD|      1.818|     25.287|     59.805|       0|     0|      1.683|     64.990
RTD|      1.793|     24.644|     58.378|       0|     0|      1.683|     64.990
RTT|  00:04:13  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.780|     18.429|     52.098|       0|     0|      1.683|     64.990
RTD|      1.740|     21.154|     53.897|       0|     0|      1.683|     64.990
RTD|      1.781|     23.338|     54.206|       0|     0|      1.683|     64.990
RTD|      1.747|     22.987|     54.393|       0|     0|      1.683|     64.990
RTD|      1.745|     19.748|     52.021|       0|     0|      1.683|     64.990
RTD|      1.762|     17.791|     52.012|       0|     0|      1.683|     64.990
RTD|      1.770|     17.634|     57.437|       0|     0|      1.683|     64.990
RTD|      1.820|     23.130|     51.989|       0|     0|      1.683|     64.990
RTD|      1.756|     17.123|     50.753|       0|     0|      1.683|     64.990
RTD|      1.749|     21.215|     51.597|       0|     0|      1.683|     64.990
RTD|      1.762|     22.439|     54.227|       0|     0|      1.683|     64.990
RTD|      1.722|     18.823|     51.833|       0|     0|      1.683|     64.990
RTD|      1.765|     21.696|     55.216|       0|     0|      1.683|     64.990
RTD|      1.784|     10.671|     47.859|       0|     0|      1.683|     64.990
RTD|      2.128|      3.533|      8.536|       0|     0|      1.683|     64.990
RTD|      2.372|      3.561|      4.703|       0|     0|      1.683|     64.990
RTD|      2.549|      3.824|      4.859|       0|     0|      1.683|     64.990
RTD|      2.410|      3.836|      5.025|       0|     0|      1.683|     64.990
RTD|      2.508|      3.611|      4.882|       0|     0|      1.683|     64.990
RTD|      2.521|     62.911|     90.475|       0|     0|      1.683|     90.475
RTD|      2.213|     65.360|     92.041|       0|     0|      1.683|     92.041
RTT|  00:04:34  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.816|     65.786|     92.774|       0|     0|      1.683|     92.774
RTD|      2.289|     63.743|     98.787|       0|     0|      1.683|     98.787
RTD|      2.456|     55.380|     93.440|       0|     0|      1.683|     98.787
RTD|      2.754|     62.422|     86.292|       0|     0|      1.683|     98.787
RTD|      2.741|     65.580|     88.708|       0|     0|      1.683|     98.787
RTD|      3.007|     66.415|     91.610|       0|     0|      1.683|     98.787
RTD|      2.600|     64.531|     91.764|       0|     0|      1.683|     98.787
RTD|      2.222|     63.325|     91.857|       0|     0|      1.683|     98.787
RTD|      2.477|     63.013|     92.103|       0|     0|      1.683|     98.787
RTD|      2.874|     64.294|     80.605|       0|     0|      1.683|     98.787
RTD|      2.256|     62.412|     78.801|       0|     0|      1.683|     98.787
RTD|      2.253|     62.686|     87.833|       0|     0|      1.683|     98.787
RTD|      2.440|     64.134|     85.522|       0|     0|      1.683|     98.787
RTD|      2.746|     65.511|     88.651|       0|     0|      1.683|     98.787
RTD|      4.817|     66.416|     88.334|       0|     0|      1.683|     98.787
RTD|      2.251|     60.541|     89.807|       0|     0|      1.683|     98.787
RTD|      2.386|     63.437|     84.631|       0|     0|      1.683|     98.787
RTD|      3.590|     65.669|     91.113|       0|     0|      1.683|     98.787
RTD|      3.240|     67.041|     88.594|       0|     0|      1.683|     98.787
RTD|      2.243|     63.416|     83.295|       0|     0|      1.683|     98.787
RTD|      2.410|     60.600|     85.397|       0|     0|      1.683|     98.787
RTT|  00:04:55  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.538|     63.769|     84.879|       0|     0|      1.683|     98.787
