sample_idx,expected_ns,actual_ns,jitter_us,period_us,exec_us,overruns
8565,23727307428087,23727307498871,70.784,997.871,0.326,0
8566,23727308428087,23727308498333,70.246,999.462,0.304,0
8567,23727309428087,23727309500585,72.498,1002.252,0.323,0
8568,23727310428087,23727310498145,70.058,997.560,0.324,0
8569,23727311428087,23727311497550,69.463,999.405,0.309,0
8570,23727312428087,23727312497420,69.333,999.870,0.326,0
8571,23727313428087,23727313496629,68.542,999.209,0.312,0
8572,23727314428087,23727314434814,6.727,938.185,0.346,0
8573,23727315428087,23727315496784,68.697,1061.970,0.324,0
8574,23727316428087,23727316496923,68.836,1000.139,0.318,0
8575,23727317428087,23727317500188,72.101,1003.265,0.316,0
8576,23727318428087,23727318497521,69.434,997.333,0.322,0
8577,23727319428087,23727319500167,72.080,1002.646,0.302,0
8578,23727320428087,23727320497792,69.705,997.625,0.314,0
8579,23727321428087,23727321498110,70.023,1000.318,0.308,0
8580,23727322428087,23727322497565,69.478,999.455,0.325,0
8581,23727323428087,23727323497569,69.482,1000.004,0.328,0
8582,23727324428087,23727324497386,69.299,999.817,0.337,0
8583,23727325428087,23727325500527,72.440,1003.141,0.346,0
8584,23727326428087,23727326497850,69.763,997.323,0.325,0
8585,23727327428087,23727327497938,69.851,1000.088,0.334,0
8586,23727328428087,23727328497448,69.361,999.510,0.309,0
8587,23727329428087,23727329498086,69.999,1000.638,0.355,0
8588,23727330428087,23727330497660,69.573,999.574,0.300,0
8589,23727331428087,23727331498837,70.750,1001.177,0.327,0
8590,23727332428087,23727332497662,69.575,998.825,0.333,0
8591,23727333428087,23727333499968,71.881,1002.306,0.320,0
8592,23727334428087,23727334501657,73.570,1001.689,0.328,0
8593,23727335428087,23727335497530,69.443,995.873,0.317,0
8594,23727336428087,23727336498293,70.206,1000.763,0.301,0
8595,23727337428087,23727337498091,70.004,999.798,0.319,0
8596,23727338428087,23727338497640,69.553,999.549,0.317,0
8597,23727339428087,23727339498319,70.232,1000.679,0.326,0
8598,23727340428087,23727340497367,69.280,999.048,0.315,0
8599,23727341428087,23727341498159,70.072,1000.792,0.331,0
8600,23727342428087,23727342497421,69.334,999.262,0.347,0
8601,23727343428087,23727343498415,70.328,1000.994,0.321,0
8602,23727344428087,23727344434473,6.386,936.058,0.333,0
8603,23727345428087,23727345498626,70.539,1064.153,0.329,0
8604,23727346428087,23727346498255,70.168,999.629,0.349,0
8605,23727347428087,23727347497764,69.677,999.509,0.320,0
8606,23727348428087,23727348498747,70.660,1000.983,0.338,0
8607,23727349428087,23727349498665,70.578,999.918,0.331,0
8608,23727350428087,23727350497588,69.501,998.923,0.322,0
8609,23727351428087,23727351497582,69.495,999.994,0.326,0
8610,23727352428087,23727352500155,72.068,1002.573,0.343,0
8611,23727353428087,23727353498321,70.234,998.166,0.321,0
8612,23727354428087,23727354502139,74.052,1003.818,0.304,0
8613,23727355428087,23727355498335,70.248,996.196,0.328,0
8614,23727356428087,23727356497404,69.317,999.069,0.331,0
8615,23727357428087,23727357497637,69.550,1000.233,0.320,0
8616,23727358428087,23727358497645,69.558,1000.008,0.317,0
8617,23727359428087,23727359503312,75.225,1005.667,0.309,0
8618,23727360428087,23727360507447,79.360,1004.135,0.351,0
8619,23727361428087,23727361498040,69.953,990.593,0.353,0
8620,23727362428087,23727362497624,69.537,999.584,0.355,0
8621,23727363428087,23727363497845,69.758,1000.221,0.350,0
8622,23727364428087,23727364497542,69.455,999.697,0.329,0
8623,23727365428087,23727365505346,77.259,1007.804,0.316,0
8624,23727366428087,23727366498247,70.160,992.901,0.321,0
8625,23727367428087,23727367500029,71.942,1001.782,0.298,0
8626,23727368428087,23727368497699,69.612,997.670,0.307,0
8627,23727369428087,23727369497483,69.396,999.784,0.320,0
8628,23727370428087,23727370499045,70.958,1001.562,0.324,0
8629,23727371428087,23727371498410,70.323,999.365,0.330,0
8630,23727372428087,23727372496597,68.510,998.187,0.350,0
8631,23727373428087,23727373500000,71.913,1003.403,0.309,0
8632,23727374428087,23727374502050,73.963,1002.050,0.321,0
8633,23727375428087,23727375497074,68.987,995.024,0.340,0
8634,23727376428087,23727376495144,67.057,998.070,0.323,0
8635,23727377428087,23727377497569,69.482,1002.425,0.310,0
8636,23727378428087,23727378497805,69.718,1000.236,0.314,0
8637,23727379428087,23727379498228,70.141,1000.423,0.307,0
8638,23727380428087,23727380496671,68.584,998.443,0.327,0
8639,23727381428087,23727381499238,71.151,1002.567,0.331,0
8640,23727382428087,23727382497511,69.424,998.273,0.334,0
8641,23727383428087,23727383499133,71.046,1001.622,0.303,0
8642,23727384428087,23727384498975,70.888,999.842,0.306,0
8643,23727385428087,23727385498648,70.561,999.673,0.320,0
8644,23727386428087,23727386498477,70.390,999.829,0.306,0
8645,23727387428087,23727387498155,70.068,999.678,0.304,0
8646,23727388428087,23727388496902,68.815,998.747,0.315,0
8647,23727389428087,23727389499876,71.789,1002.974,0.301,0
8648,23727390428087,23727390501790,73.703,1001.914,0.325,0
8649,23727391428087,23727391498839,70.752,997.049,0.293,0
8650,23727392428087,23727392492270,64.183,993.431,0.166,0
8651,23727393428087,23727393497888,69.801,1005.618,0.310,0
8652,23727394428087,23727394434671,6.584,936.783,0.313,0
8653,23727395428087,23727395497356,69.269,1062.685,0.308,0
8654,23727396428087,23727396497810,69.723,1000.454,0.311,0
8655,23727397428087,23727397505186,77.099,1007.376,0.335,0
8656,23727398428087,23727398497824,69.737,992.638,0.304,0
8657,23727399428087,23727399498264,70.177,1000.440,0.321,0
8658,23727400428087,23727400497062,68.975,998.798,0.319,0
8659,23727401428087,23727401497574,69.487,1000.512,0.326,0
8660,23727402428087,23727402497817,69.730,1000.243,0.312,0
8661,23727403428087,23727403498095,70.008,1000.278,0.314,0
8662,23727404428087,23727404434468,6.381,936.373,0.322,0
8663,23727405428087,23727405497668,69.581,1063.200,0.318,0
8664,23727406428087,23727406498704,70.617,1001.036,0.317,0
8665,23727407428087,23727407497999,69.912,999.295,0.306,0
8666,23727408428087,23727408497698,69.611,999.699,0.311,0
8667,23727409428087,23727409497370,69.283,999.672,0.300,0
8668,23727410428087,23727410498597,70.510,1001.227,0.328,0
8669,23727411428087,23727411496762,68.675,998.165,0.331,0
8670,23727412428087,23727412497795,69.708,1001.033,0.308,0
8671,23727413428087,23727413507811,79.724,1010.016,0.300,0
8672,23727414428087,23727414434508,6.421,926.697,0.333,0
8673,23727415428087,23727415497113,69.026,1062.605,0.315,0
8674,23727416428087,23727416503161,75.074,1006.048,0.325,0
8675,23727417428087,23727417498423,70.336,995.262,0.332,0
8676,23727418428087,23727418501219,73.132,1002.796,0.325,0
8677,23727419428087,23727419497548,69.461,996.329,0.305,0
8678,23727420428087,23727420498108,70.021,1000.560,0.317,0
8679,23727421428087,23727421499721,71.634,1001.613,0.325,0
8680,23727422428087,23727422498131,70.044,998.410,0.309,0
8681,23727423428087,23727423500658,72.571,1002.527,0.320,0
8682,23727424428087,23727424434485,6.398,933.827,0.341,0
8683,23727425428087,23727425497411,69.324,1062.926,0.325,0
8684,23727426428087,23727426501090,73.003,1003.679,0.312,0
8685,23727427428087,23727427498611,70.524,997.521,0.324,0
8686,23727428428087,23727428498446,70.359,999.835,0.320,0
8687,23727429428087,23727429499545,71.458,1001.099,0.311,0
8688,23727430428087,23727430502005,73.918,1002.460,0.328,0
8689,23727431428087,23727431499220,71.133,997.215,0.305,0
8690,23727432428087,23727432498536,70.449,999.316,0.318,0
8691,23727433428087,23727433498088,70.001,999.552,0.306,0
8692,23727434428087,23727434434719,6.632,936.631,0.348,0
8693,23727435428087,23727435497645,69.558,1062.926,0.311,0
8694,23727436428087,23727436497531,69.444,999.886,0.312,0
8695,23727437428087,23727437499191,71.104,1001.660,0.317,0
8696,23727438428087,23727438501308,73.221,1002.117,0.310,0
8697,23727439428087,23727439499610,71.523,998.302,0.314,0
